observed brix,observed polarity, temp,corrected brix,corrected pol,normal recovery
17,10,17,16.32,2.44,1.508
17,11,17,16.32,2.69,1.683
17,12,17,16.32,2.93,1.851
17,13,17,16.32,3.18,2.026
17,14,17,16.32,3.42,2.194
17,15,17,16.32,3.66,2.362
17,16,17,16.32,3.91,2.537
17,17,17,16.32,4.15,2.705
17,18,17,16.32,4.40,2.88
17,19,17,16.32,4.64,3.048
17,20,17,16.32,4.89,3.223
17,21,17,16.32,5.12,3.384
17,22,17,16.32,5.37,3.559
17,23,17,16.32,5.62,3.734
17,24,17,16.32,5.86,3.902
17,25,17,16.32,6.11,4.077
17,26,17,16.32,6.35,4.245
17,27,17,16.32,6.59,4.413
17,28,17,16.32,6.84,4.588
17,29,17,16.32,7.08,4.756
17,30,17,16.32,7.33,4.931
17,31,17,16.32,7.57,5.099
17,32,17,16.32,7.82,5.274
17,33,17,16.32,8.06,5.442
17,34,17,16.32,8.30,5.61
17,35,17,16.32,8.55,5.785
17,36,17,16.32,8.79,5.953
17,37,17,16.32,9.04,6.128
17,38,17,16.32,9.28,6.296
17,39,17,16.32,9.53,6.471
17,40,17,16.32,9.77,6.639
17,41,17,16.32,10.01,6.807
17,42,17,16.32,10.26,6.982
17,43,17,16.32,10.50,7.15
17,44,17,16.32,10.75,7.325
17,45,17,16.32,10.99,7.493
17,46,17,16.32,11.24,7.668
17,47,17,16.32,11.48,7.836
17,48,17,16.32,11.72,8.004
17,49,17,16.32,11.97,8.179
17,50,17,16.32,12.21,8.347
17,51,17,16.32,12.46,8.522
17,52,17,16.32,12.70,8.69
17,53,17,16.32,12.95,8.865
17,54,17,16.32,13.20,9.04
17,55,17,16.32,13.43,9.201
17,56,17,16.32,13.68,9.376
17,57,17,16.32,13.92,9.544
17,58,17,16.32,14.17,9.719
17,59,17,16.32,14.41,9.887
17,60,17,16.32,14.66,10.062
17,61,17,16.32,14.90,10.23
17,62,17,16.32,15.14,10.398
17,63,17,16.32,15.39,10.573
17,64,17,16.32,15.63,10.741
17,65,17,16.32,15.88,10.916
17,66,17,16.32,16.12,11.084
17,67,17,16.32,16.37,11.259
17,68,17,16.32,16.61,11.427
17,69,17,16.32,16.85,11.595
17,10,18,16.38,2.44,1.508
17,11,18,16.38,2.69,1.683
17,12,18,16.38,2.93,1.851
17,13,18,16.38,3.18,2.026
17,14,18,16.38,3.42,2.194
17,15,18,16.38,3.66,2.362
17,16,18,16.38,3.91,2.537
17,17,18,16.38,4.15,2.705
17,18,18,16.38,4.40,2.88
17,19,18,16.38,4.64,3.048
17,20,18,16.38,4.89,3.223
17,21,18,16.38,5.12,3.384
17,22,18,16.38,5.37,3.559
17,23,18,16.38,5.62,3.734
17,24,18,16.38,5.86,3.902
17,25,18,16.38,6.11,4.077
17,26,18,16.38,6.35,4.245
17,27,18,16.38,6.59,4.413
17,28,18,16.38,6.84,4.588
17,29,18,16.38,7.08,4.756
17,30,18,16.38,7.33,4.931
17,31,18,16.38,7.57,5.099
17,32,18,16.38,7.82,5.274
17,33,18,16.38,8.06,5.442
17,34,18,16.38,8.30,5.61
17,35,18,16.38,8.55,5.785
17,36,18,16.38,8.79,5.953
17,37,18,16.38,9.04,6.128
17,38,18,16.38,9.28,6.296
17,39,18,16.38,9.53,6.471
17,40,18,16.38,9.77,6.639
17,41,18,16.38,10.01,6.807
17,42,18,16.38,10.26,6.982
17,43,18,16.38,10.50,7.15
17,44,18,16.38,10.75,7.325
17,45,18,16.38,10.99,7.493
17,46,18,16.38,11.24,7.668
17,47,18,16.38,11.48,7.836
17,48,18,16.38,11.72,8.004
17,49,18,16.38,11.97,8.179
17,50,18,16.38,12.21,8.347
17,51,18,16.38,12.46,8.522
17,52,18,16.38,12.70,8.69
17,53,18,16.38,12.95,8.865
17,54,18,16.38,13.20,9.04
17,55,18,16.38,13.43,9.201
17,56,18,16.38,13.68,9.376
17,57,18,16.38,13.92,9.544
17,58,18,16.38,14.17,9.719
17,59,18,16.38,14.41,9.887
17,60,18,16.38,14.66,10.062
17,61,18,16.38,14.90,10.23
17,62,18,16.38,15.14,10.398
17,63,18,16.38,15.39,10.573
17,64,18,16.38,15.63,10.741
17,65,18,16.38,15.88,10.916
17,66,18,16.38,16.12,11.084
17,67,18,16.38,16.37,11.259
17,68,18,16.38,16.61,11.427
17,69,18,16.38,16.85,11.595
17,10,19,16.44,2.44,1.508
17,11,19,16.44,2.69,1.683
17,12,19,16.44,2.93,1.851
17,13,19,16.44,3.18,2.026
17,14,19,16.44,3.42,2.194
17,15,19,16.44,3.66,2.362
17,16,19,16.44,3.91,2.537
17,17,19,16.44,4.15,2.705
17,18,19,16.44,4.40,2.88
17,19,19,16.44,4.64,3.048
17,20,19,16.44,4.89,3.223
17,21,19,16.44,5.12,3.384
17,22,19,16.44,5.37,3.559
17,23,19,16.44,5.62,3.734
17,24,19,16.44,5.86,3.902
17,25,19,16.44,6.11,4.077
17,26,19,16.44,6.35,4.245
17,27,19,16.44,6.59,4.413
17,28,19,16.44,6.84,4.588
17,29,19,16.44,7.08,4.756
17,30,19,16.44,7.33,4.931
17,31,19,16.44,7.57,5.099
17,32,19,16.44,7.82,5.274
17,33,19,16.44,8.06,5.442
17,34,19,16.44,8.30,5.61
17,35,19,16.44,8.55,5.785
17,36,19,16.44,8.79,5.953
17,37,19,16.44,9.04,6.128
17,38,19,16.44,9.28,6.296
17,39,19,16.44,9.53,6.471
17,40,19,16.44,9.77,6.639
17,41,19,16.44,10.01,6.807
17,42,19,16.44,10.26,6.982
17,43,19,16.44,10.50,7.15
17,44,19,16.44,10.75,7.325
17,45,19,16.44,10.99,7.493
